City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
93,Stokmarknes,NO,68.5646,14.9108,39.18,75,40,10.36
94,Bambous Virieux,MU,-20.3428,57.7575,75.45,88,75,3.44
95,Hilo,US,19.7297,-155.09,74.93,87,75,10.36
96,Shimoda,JP,34.6667,138.95,70.11,48,83,9.31
97,Lichinga,MZ,-13.3128,35.2406,64.49,100,75,14.0
98,Saskylakh,RU,71.9167,114.0833,-15.88,89,8,4.65
99,Kiunga,PG,-6.1219,141.2906,92.62,49,75,3.83
100,Atuona,PF,-9.8,-139.0333,80.85,75,55,12.73
101,Cockburn Town,TC,21.4612,-71.1419,77.25,81,10,20.27
102,Carmen,MX,18.6333,-91.8333,84.85,49,98,19.89
103,Bredasdorp,ZA,-34.5322,20.0403,58.8,89,5,3.87
104,Shar,KZ,49.5886,81.0453,41.88,43,6,1.95
105,Svetlyy,RU,54.675,20.1347,32.05,79,94,5.93
106,Yakovlevka,RU,44.425,133.4772,54.75,25,100,1.23
107,Vestmannaeyjar,IS,63.4427,-20.2734,44.17,86,100,5.66
108,Luderitz,NA,-26.6481,15.1594,70.25,45,0,6.17
109,Gornyy,RU,55.1153,83.9059,29.57,55,15,10.0
110,Lincoln,US,40.8,-96.667,37.69,74,24,8.01
111,Sarangani,PH,5.4033,125.4636,81.84,68,100,7.96
112,Alice Springs,AU,-23.7,133.8833,90.21,41,75,17.27
113,Bluff,NZ,-46.6,168.3333,58.8,76,36,32.37
114,Key West,US,24.5557,-81.7826,80.01,75,40,14.97
115,Hella,NO,67.2,14.4333,39.34,72,0,14.97
116,Jumla,NP,29.2747,82.1838,54.88,36,4,2.42
117,Caravelas,BR,-17.7125,-39.2481,76.57,80,100,3.69
118,Ponta Delgada,PT,37.7333,-25.6667,56.12,82,20,3.44
119,Kahului,US,20.8947,-156.47,80.62,67,40,23.02
120,Vaini,TO,-21.2,-175.2,84.36,70,40,9.22
121,Udachnyy,RU,66.4167,112.4,-6.56,47,38,15.79
122,La Carolina,ES,38.2756,-3.6153,46.26,53,0,5.35
123,Luganville,VU,-15.5333,167.1667,85.68,63,74,6.55
124,Tasiilaq,GL,65.6145,-37.6368,19.29,96,100,5.21
125,Keti Bandar,PK,24.1447,67.4497,78.35,57,0,13.49
126,Provideniya,RU,64.3833,-173.3,6.91,61,75,0.0
127,Atar,MR,20.5169,-13.0499,72.5,30,99,12.88
128,Bandarbeyla,SO,9.4942,50.8122,80.6,64,7,9.6
129,Challapata,BO,-18.9,-66.7667,47.89,51,71,5.21
130,San Quintin,MX,30.4833,-115.95,53.91,64,1,18.1
131,Bay City,US,43.5945,-83.8889,50.32,90,100,10.36
132,Opuwo,NA,-18.0607,13.84,68.92,61,100,6.71
133,College,US,64.8569,-147.8028,37.72,75,75,6.91
134,Ajdabiya,LY,30.7554,20.2263,54.57,73,0,1.16
135,Port Lincoln,AU,-34.7333,135.8667,74.53,48,86,16.73
136,Mahebourg,MU,-20.4081,57.7,75.49,88,75,3.44
137,Pyapon,MM,16.2833,95.6833,93.11,34,49,6.82
138,Nargana,PA,9.4428,-78.5906,78.57,88,94,12.41
139,Fort Dodge,US,42.4975,-94.168,52.83,100,100,8.05
140,Chokurdakh,RU,70.6333,147.9167,7.86,81,100,11.77
141,Aquiraz,BR,-3.9014,-38.3911,77.09,86,17,2.37
142,Gat,IL,31.61,34.7642,57.88,80,0,3.98
143,Marrakesh,MA,31.6315,-8.0083,50.07,93,75,8.05
144,Tuatapere,NZ,-46.1333,167.6833,60.69,68,33,13.09
145,Fortuna,US,40.5982,-124.1573,46.74,89,91,2.44
146,Bangassou,CF,4.7413,22.8184,69.98,69,97,0.96
147,Shenkursk,RU,62.1091,42.896,30.52,96,100,7.65
148,Beyneu,KZ,45.3167,55.2,50.9,62,100,9.95
149,Esperance,AU,-33.8667,121.9,67.5,58,43,23.51
150,Bonthe,SL,7.5264,-12.505,78.39,90,7,4.16
151,Cabo San Lucas,MX,22.8909,-109.9124,69.51,71,4,8.32
152,Oshkosh,US,44.0247,-88.5426,41.07,93,100,12.66
153,Praia Da Vitoria,PT,38.7333,-27.0667,56.75,94,20,6.33
154,Honiara,SB,-9.4333,159.95,85.86,71,91,3.71
155,Tiarei,PF,-17.5333,-149.3333,86.02,74,85,5.88
156,Kruisfontein,ZA,-34.0033,24.7314,58.5,90,9,3.8
157,Bac Lieu,VN,9.285,105.7244,88.54,55,18,9.86
158,Longyearbyen,SJ,78.2186,15.6401,4.84,66,75,12.66
159,Adrar,MR,20.5022,-10.0711,68.4,24,74,12.35
160,Chuy,UY,-33.6971,-53.4616,63.91,80,100,7.67
161,Hermosillo,MX,29.0667,-110.9667,63.84,29,2,1.99
162,Bengkulu,ID,-3.8004,102.2655,82.47,69,80,5.88
163,Sukhobuzimskoye,RU,56.5,93.2728,24.06,57,12,5.3
164,Okhotsk,RU,59.3833,143.3,24.44,92,100,7.7
165,Airai,TL,-8.9266,125.4092,71.35,71,90,0.69
