City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Wind Speed
70,Labuhan,ID,2023-03-30 19:00:57,-6.8844,112.2051,81.46,77,6.08
71,Yulara,AU,2023-03-30 19:00:57,-25.2406,130.9889,67.75,57,16.35
72,Airai,TL,2023-03-30 18:52:35,-8.9266,125.4092,59.61,96,1.83
73,Guara,BR,2023-03-30 19:00:57,-20.4283,-47.8242,84.06,54,3.62
74,Dikson,RU,2023-03-30 18:52:45,73.5069,80.5464,-14.98,100,5.97
75,Port Alfred,ZA,2023-03-30 18:56:01,-33.5906,26.891,59.18,85,3.0
76,Siocon,PH,2023-03-30 19:00:58,7.7061,122.1353,81.0,75,3.69
77,Laxou,FR,2023-03-30 19:00:58,48.6832,6.148,60.62,55,14.97
78,Barrow,US,2023-03-30 18:52:44,71.2906,-156.7887,-0.38,85,12.66
79,Georgetown,MY,2023-03-30 18:46:55,5.4112,100.3354,82.33,89,2.3
80,Montepuez,MZ,2023-03-30 19:00:58,-13.1256,38.9997,68.99,99,3.58
81,Luganville,VU,2023-03-30 19:00:58,-15.5333,167.1667,74.97,95,1.86
82,Tautira,PF,2023-03-30 19:00:59,-17.7333,-149.15,80.08,75,5.77
83,Aseri,EE,2023-03-30 19:00:59,59.4506,26.8675,28.72,92,5.53
84,Sitka,US,2023-03-30 18:58:39,57.0531,-135.33,39.09,70,3.44
85,Qasigiannguit,GL,2023-03-30 19:00:59,68.8193,-51.1922,8.85,86,1.21
86,Souillac,MU,2023-03-30 18:52:45,-20.5167,57.5167,80.98,89,11.5
87,Amurzet,RU,2023-03-30 19:00:59,47.6967,131.0981,34.84,42,3.94
88,Hithadhoo,MV,2023-03-30 18:52:45,-0.6,73.0833,82.56,74,8.72
89,Namibe,AO,2023-03-30 18:52:36,-15.1961,12.1522,74.1,80,7.83
90,Albany,US,2023-03-30 18:57:09,42.6001,-73.9662,38.95,36,3.0
91,Hattiesburg,US,2023-03-30 18:59:37,31.3271,-89.2903,80.22,35,5.75
92,Butaritari,KI,2023-03-30 19:01:00,3.0707,172.7902,81.63,80,11.39
93,Buchanan,LR,2023-03-30 19:01:00,5.8808,-10.0467,79.7,81,6.69
94,Sao Joao Da Barra,BR,2023-03-30 18:56:27,-21.6403,-41.0511,87.89,69,14.0
95,Tabas,IR,2023-03-30 19:01:00,33.5959,56.9244,72.99,18,3.96
96,Russell,US,2023-03-30 19:01:01,32.3502,-85.1999,75.9,33,0.0
97,Adrar,MR,2023-03-30 18:53:51,20.5022,-10.0711,87.76,8,12.75
98,Avarua,CK,2023-03-30 18:51:31,-21.2078,-159.775,80.65,89,12.66
99,Coari,BR,2023-03-30 19:01:01,-4.085,-63.1414,90.05,55,2.82
100,Kodiak,US,2023-03-30 18:55:20,57.79,-152.4072,35.11,87,14.97
101,Atbasar,KZ,2023-03-30 19:01:02,51.8,68.3333,18.91,87,11.23
102,Hobart,AU,2023-03-30 19:00:06,-42.8794,147.3294,56.26,79,3.44
103,Cidreira,BR,2023-03-30 18:51:27,-30.1811,-50.2056,82.06,58,5.82
104,Xining,CN,2023-03-30 18:55:30,36.6167,101.7667,40.93,61,1.86
105,Kandrian,PG,2023-03-30 19:01:05,-6.2167,149.55,76.57,88,7.61
106,Mehamn,NO,2023-03-30 19:01:06,71.0357,27.8492,28.35,93,6.91
107,Nago,JP,2023-03-30 19:01:06,26.5881,127.9761,72.03,92,12.06
108,Bambous Virieux,MU,2023-03-30 18:51:26,-20.3428,57.7575,80.85,89,11.5
109,Norman Wells,CA,2023-03-30 19:01:07,65.282,-126.8329,12.24,62,14.97
110,La Ronge,CA,2023-03-30 19:01:08,55.1001,-105.2842,21.45,38,3.44
111,Kathmandu,NP,2023-03-30 18:57:31,27.7167,85.3167,60.84,67,3.44
112,New Norfolk,AU,2023-03-30 19:01:09,-42.7826,147.0587,55.92,79,1.01
113,Kitui,KE,2023-03-30 19:01:09,-1.367,38.0106,69.21,74,2.64
114,Camacha,PT,2023-03-30 19:01:10,33.0833,-16.3333,67.42,78,16.11
115,Saint George,US,2023-03-30 18:47:43,37.1041,-113.5841,51.94,51,12.66
116,Shimoda,JP,2023-03-30 19:01:11,34.6667,138.95,53.1,66,3.87
117,Eureka,US,2023-03-30 19:00:09,40.8021,-124.1637,52.25,74,4.0
118,Winnemucca,US,2023-03-30 19:01:12,40.973,-117.7357,37.45,56,4.61
119,Banda Aceh,ID,2023-03-30 18:57:45,5.5577,95.3222,79.52,79,4.68
120,Goderich,CA,2023-03-30 19:01:12,43.7501,-81.7165,33.91,51,12.66
121,Hamilton,US,2023-03-30 18:57:08,39.1834,-84.5333,60.26,39,4.61
122,Kargasok,RU,2023-03-30 19:01:13,59.0556,80.8572,11.64,90,12.33
123,Yar-Sale,RU,2023-03-30 18:58:17,66.8333,70.8333,-7.74,100,3.49
124,Kahului,US,2023-03-30 18:56:19,20.8947,-156.47,79.84,77,8.05
125,Farafangana,MG,2023-03-30 19:01:14,-22.8167,47.8333,76.37,86,8.28
126,Black Diamond,US,2023-03-30 19:01:14,47.3087,-122.0032,52.0,66,5.99
127,Castro,BR,2023-03-30 19:01:15,-24.7911,-50.0119,76.17,68,2.75
128,Qianan,CN,2023-03-30 19:01:16,44.9932,124.0581,47.53,40,6.31
129,Holly Springs,US,2023-03-30 19:00:09,35.6513,-78.8336,68.05,30,5.01
130,Tra Vinh,VN,2023-03-30 19:01:16,9.9347,106.3453,75.69,85,3.47
131,Lebu,CL,2023-03-30 18:56:41,-37.6167,-73.65,58.69,68,16.75
132,Coahuayana,MX,2023-03-30 18:53:47,18.7333,-103.6833,91.78,28,6.85
133,Dhidhdhoo,MV,2023-03-30 19:01:17,6.8833,73.1,81.95,75,8.55
134,Trinidad,BO,2023-03-30 19:01:17,-14.8333,-64.9,85.98,70,0.0
135,Arraial Do Cabo,BR,2023-03-30 18:52:40,-22.9661,-42.0278,87.76,66,9.22
136,Dingli,MT,2023-03-30 19:01:18,35.8614,14.3822,58.82,82,5.75
137,Tasiilaq,GL,2023-03-30 18:51:27,65.6145,-37.6368,24.96,89,8.34
138,Yellowknife,CA,2023-03-30 19:01:18,62.456,-114.3525,7.32,66,2.3
139,Tulagi,SB,2023-03-30 19:01:19,-9.0996,160.1476,80.71,76,3.18
140,Puerto Madryn,AR,2023-03-30 18:58:17,-42.7692,-65.0385,57.94,50,21.23
